data,cliente,produto,categoria,quantidade,preco_unitario,regiao
15/02/2026,  cliente40  ,Mouse Sem Fio,Eletronicos,11,650.74,Centro-Oeste
25/02/2026,Cliente_058,Jogo de Toalhas,Casa,3,630.88,Sul
18/09/2026,Cliente_009,Panela de Pressao,Casa,8,651.56,Centro-Oeste
27/04/2026,Cliente-29,Corda de Pular,Esporte,9,226.73,Centro-Oeste
05/02/2026,  cliente21  ,  Luminaria de Mesa   ,Casa,7,640.18,Nordeste
13/07/2026,Cliente_004,Bone Aba Curva,Vestuario,10,32.29,Centro-Oeste
28/07/2026,CLIENTE_23,Faixa Elastica,Esporte,7,665.15,Sul
11/07/2026,Cliente_028,Corda de Pular,Esporte,7,758.85,Nordeste
03/01/2026,Cliente-38,  Caderno Universitario   ,Papelaria,3,175.83,Centro-Oeste
09/07/2026,Cliente_022,  Organizador Multiuso   ,Casa,7,87.49,Nordeste
25/01/2026,CLIENTE_42,Teclado Mecanico,Eletronicos,,757.72,Sudeste
23/08/2026,cliente 37,Organizador Multiuso,Casa,6,552.41,Sul
DATA INVALIDA,CLIENTE_38,Luminaria de Mesa,Casa,11,347.15,Sul
26/02/2026,Cliente_045,Mouse Sem Fio,Eletronicos,1,394.11,Sul
12/07/2026,Cliente-53,Camiseta Basica,Vestuario,8,400.41,Centro-Oeste
11/05/2026,Cliente_028,Estojo Duplo,Papelaria,2,413.96,Centro-Oeste
06/06/2026,Cliente-2,Estojo Duplo,Papelaria,6,316.2,Nordeste
16/07/2026,cliente 13,Caderno Universitario,Papelaria,4,586.62,Norte
22/05/2026,Cliente_026,Teclado Mecanico,Eletronicos,8,319.23,Sudeste
04/04/2026,CLIENTE_18,Tenis Casual,Vestuario,6,489.24,Centro-Oeste
20/09/2026,Cliente-18,Jogo de Toalhas,Casa,2,277.18,Centro-Oeste
10/09/2026,cliente 3,  Mouse Sem Fio   ,Eletronicos,3,681.22,Nordeste
02/03/2026,Cliente_031,Mochila Escolar,Papelaria,8,72.83,Centro-Oeste
03/05/2026,Cliente_052,Mouse Sem Fio,Eletronicos,2,383.31,Sudeste
10/07/2026,CLIENTE_59,Organizador Multiuso,Casa,1,669.98,Centro-Oeste
03/09/2026,CLIENTE_11,  Luminaria de Mesa   ,Casa,7,540.52,Sul
26/05/2026,Cliente_005,Tenis Casual,Vestuario,10,841.3,Centro-Oeste
06/01/2026,cliente 53,  Jogo de Toalhas   ,Casa,10,518.75,Nordeste
15/08/2026,cliente 18,Garrafa Termica,Esporte,1,665.06,Centro-Oeste
19/05/2026,Cliente-38,Mouse Sem Fio,Eletronicos,,431.39,Norte
11/07/2026,Cliente-6,Organizador Multiuso,Casa,2,306.88,Centro-Oeste
04/06/2026,Cliente_006,  Bola de Futebol   ,Esporte,7,745.06,Centro-Oeste
21/08/2026,  cliente13  ,Faixa Elastica,Esporte,1,501.06,Sul
23/04/2026,CLIENTE_41,Bola de Futebol,Esporte,9,,Sul
23/08/2026,CLIENTE_42,Carregador USB-C,Eletronicos,12,753.73,Sul
24/09/2026,Cliente_013,Corda de Pular,Esporte,2,714.16,Centro-Oeste
28/08/2026,  cliente47  ,Camiseta Basica,Vestuario,9,309.21,Nordeste
08/07/2026,  cliente45  ,Garrafa Termica,Esporte,7,,Sudeste
28/06/2026,CLIENTE_3,  Corda de Pular   ,Esporte,8,820.74,Centro-Oeste
11/05/2026,Cliente_031,Corda de Pular,Esporte,7,768.81,Sul
08/02/2026,cliente 56,Garrafa Termica,Esporte,5,675.89,Centro-Oeste
02/01/2026,Cliente_045,  Carregador USB-C   ,Eletronicos,1,346.73,Sudeste
20/07/2026,Cliente-12,Corda de Pular,Esporte,8,141.66,Sudeste
22/05/2026,  cliente58  ,Garrafa Termica,Esporte,2,320.83,Sul
04/08/2026,cliente 13,Bone Aba Curva,Vestuario,10,276.85,Nordeste
20/01/2026,CLIENTE_37,Garrafa Termica,Esporte,5,218.65,Sul
10/01/2026,Cliente-41,  Luminaria de Mesa   ,Casa,1,663.14,Sudeste
12/09/2026,  cliente13  ,Bone Aba Curva,Vestuario,5,242.42,Sudeste
25/03/2026,Cliente_030,Tenis Casual,Vestuario,11,882.25,Sul
15/02/2026,Cliente-1,Camiseta Basica,Vestuario,12,532.34,Centro-Oeste
11/09/2026,Cliente-2,Mouse Sem Fio,Eletronicos,4,577.33,Centro-Oeste
16/05/2026,Cliente_003,Bola de Futebol,Esporte,4,135.06,Sudeste
20/08/2026,  cliente42  ,Corda de Pular,Esporte,5,,Centro-Oeste
18/06/2026,cliente 7,  Corda de Pular   ,Esporte,11,367.35,Nordeste
02/01/2026,Cliente_042,  Bola de Futebol   ,Esporte,4,711.48,Sudeste
09/01/2026,cliente 22,Jogo de Toalhas,Casa,3,493.09,Sudeste
19/04/2026,cliente 23,Mouse Sem Fio,Eletronicos,3,127.18,Sul
15/02/2026,Cliente_050,Carregador USB-C,Eletronicos,10,,Centro-Oeste
14/07/2026,Cliente-4,Bone Aba Curva,Vestuario,8,407.55,Sul
23/09/2026,cliente 9,Kit Canetas,Papelaria,10,416.54,Sul
11/07/2026,Cliente-29,Mouse Sem Fio,Eletronicos,7,99.15,Centro-Oeste
03/02/2026,Cliente_005,Jaqueta Corta-Vento,Vestuario,12,733.42,Centro-Oeste
28/07/2026,Cliente_027,Mochila Escolar,Papelaria,1,546.36,Sul
12/02/2026,  cliente43  ,  Kit Canetas   ,Papelaria,6,261.53,Sudeste
01/05/2026,CLIENTE_60,Caderno Universitario,Papelaria,12,830.56,Norte
03/01/2026,Cliente-10,  Organizador Multiuso   ,Casa,4,416.48,Sul
22/01/2026,Cliente-10,Camiseta Basica,Vestuario,8,444.81,Sul
17/08/2026,CLIENTE_28,  Panela de Pressao   ,Casa,1,886.23,Nordeste
04/06/2026,CLIENTE_49,Jaqueta Corta-Vento,Vestuario,,170.49,Sudeste
14/01/2026,Cliente_026,Mochila Escolar,Papelaria,,777.97,Sul
06/06/2026,  cliente8  ,Faixa Elastica,Esporte,10,625.3,Nordeste
13/02/2026,Cliente_038,  Mouse Sem Fio   ,Eletronicos,12,309.77,Centro-Oeste
08/03/2026,cliente 23,Mouse Sem Fio,Eletronicos,5,548.12,Nordeste
22/08/2026,Cliente-49,Organizador Multiuso,Casa,10,888.08,Centro-Oeste
26/05/2026,cliente 31,Organizador Multiuso,Casa,1,80.66,Sul
20/02/2026,cliente 5,Teclado Mecanico,Eletronicos,7,505.57,Nordeste
02/03/2026,cliente 39,Corda de Pular,Esporte,6,89.63,Nordeste
12/03/2026,cliente 34,Organizador Multiuso,Casa,5,700.4,Centro-Oeste
10/07/2026,cliente 7,  Camiseta Basica   ,Vestuario,11,548.39,Nordeste
05/07/2026,CLIENTE_20,Kit Canetas,Papelaria,2,348.36,Nordeste
10/06/2026,CLIENTE_33,  Caderno Universitario   ,Papelaria,4,693.05,Centro-Oeste
25/09/2026,Cliente_055,Panela de Pressao,Casa,12,48.41,Nordeste
24/03/2026,Cliente_011,Organizador Multiuso,Casa,7,651.83,Sudeste
27/08/2026,Cliente-35,Bone Aba Curva,Vestuario,11,886.23,Sudeste
28/03/2026,Cliente_053,Faixa Elastica,Esporte,11,343.52,Sudeste
17/08/2026,Cliente-49,Teclado Mecanico,Eletronicos,7,820.8,Sul
13/04/2026,Cliente-26,  Carregador USB-C   ,Eletronicos,6,297.04,Sul
23/08/2026,cliente 19,Jogo de Toalhas,Casa,12,559.58,Sul
14/09/2026,Cliente_036,  Jaqueta Corta-Vento   ,Vestuario,5,122.84,Sudeste
01/09/2026,Cliente_054,Bola de Futebol,Esporte,10,142.07,Sul
17/02/2026,Cliente_027,Jaqueta Corta-Vento,Vestuario,2,496.51,Norte
12/07/2026,cliente 56,  Caderno Universitario   ,Papelaria,1,74.79,Centro-Oeste
27/06/2026,CLIENTE_3,Mochila Escolar,Papelaria,11,630.42,Sudeste
02/04/2026,Cliente-19,Carregador USB-C,Eletronicos,5,890.37,Sul
28/01/2026,  cliente23  ,Mouse Sem Fio,Eletronicos,5,340.7,Nordeste
26/06/2026,CLIENTE_32,Garrafa Termica,Esporte,2,84.85,Sudeste
10/05/2026,cliente 7,Mochila Escolar,Papelaria,12,625.44,Nordeste
03/01/2026,cliente 41,Bone Aba Curva,Vestuario,7,723.97,Nordeste
12/06/2026,  cliente9  ,  Organizador Multiuso   ,Casa,10,,Sul
17/03/2026,CLIENTE_49,  Tenis Casual   ,Vestuario,6,235.91,Centro-Oeste
23/05/2026,cliente 8,Faixa Elastica,Esporte,10,826.08,Norte
03/08/2026,Cliente-12,Panela de Pressao,Casa,6,642.94,Centro-Oeste
04/04/2026,Cliente_051,Jaqueta Corta-Vento,Vestuario,3,452.21,Sudeste
03/02/2026,Cliente_009,Bone Aba Curva,Vestuario,12,480.24,Norte
22/08/2026,CLIENTE_42,Mouse Sem Fio,Eletronicos,3,705.53,Nordeste
17/02/2026,Cliente_059,  Organizador Multiuso   ,Casa,3,842.24,Norte
09/09/2026,Cliente_013,Camiseta Basica,Vestuario,5,97.68,Nordeste
27/06/2026,Cliente_043,  Kit Canetas   ,Papelaria,1,40.11,Sudeste
16/01/2026,  cliente27  ,Jaqueta Corta-Vento,Vestuario,9,861.64,Norte
DATA INVALIDA,Cliente-45,  Bone Aba Curva   ,Vestuario,8,316.07,Sul
04/09/2026,cliente 49,  Bone Aba Curva   ,Vestuario,8,412.89,Sudeste
27/03/2026,Cliente_027,  Bone Aba Curva   ,Vestuario,10,183.0,Norte
DATA INVALIDA,cliente 32,Faixa Elastica,Esporte,9,228.04,Nordeste
10/08/2026,  cliente39  ,Teclado Mecanico,Eletronicos,2,795.97,Centro-Oeste
12/04/2026,Cliente_004,Camiseta Basica,Vestuario,2,413.56,Centro-Oeste
18/06/2026,cliente 7,Caderno Universitario,Papelaria,3,465.57,Sudeste
05/08/2026,  cliente52  ,Mouse Sem Fio,Eletronicos,9,839.26,Nordeste
18/09/2026,cliente 22,Mochila Escolar,Papelaria,10,736.94,Norte
24/04/2026,  cliente39  ,Garrafa Termica,Esporte,8,571.69,Sul
07/02/2026,  cliente37  ,Jogo de Toalhas,Casa,,149.02,Sul
18/04/2026,  cliente46  ,Estojo Duplo,Papelaria,11,348.49,Sul
20/05/2026,Cliente-23,Mochila Escolar,Papelaria,4,279.17,Norte
26/09/2026,  cliente21  ,Jaqueta Corta-Vento,Vestuario,5,613.81,Centro-Oeste
12/02/2026,Cliente_003,  Jaqueta Corta-Vento   ,Vestuario,11,438.99,Nordeste
08/04/2026,Cliente-7,  Tenis Casual   ,Vestuario,9,221.06,Sudeste
14/03/2026,Cliente-1,Bola de Futebol,Esporte,8,191.52,Sudeste
24/09/2026,CLIENTE_42,Camiseta Basica,Vestuario,1,169.93,Sul
02/05/2026,Cliente-12,Carregador USB-C,Eletronicos,,109.96,Centro-Oeste
07/05/2026,CLIENTE_55,  Faixa Elastica   ,Esporte,6,421.14,Sudeste
06/04/2026,cliente 37,Teclado Mecanico,Eletronicos,11,746.89,Nordeste
01/04/2026,Cliente_009,Bola de Futebol,Esporte,4,251.29,Sudeste
02/04/2026,Cliente-42,Caderno Universitario,Papelaria,8,373.79,Nordeste
16/03/2026,  cliente40  ,Teclado Mecanico,Eletronicos,12,345.66,Nordeste
17/02/2026,Cliente_044,  Kit Canetas   ,Papelaria,12,826.76,Sudeste
28/06/2026,Cliente_035,Kit Canetas,Papelaria,2,649.47,Norte
19/08/2026,Cliente-9,  Bola de Futebol   ,Esporte,8,287.73,Centro-Oeste
DATA INVALIDA,  cliente5  ,Mouse Sem Fio,Eletronicos,2,68.33,Norte
12/07/2026,cliente 12,Teclado Mecanico,Eletronicos,7,826.65,Centro-Oeste
13/09/2026,Cliente-8,Kit Canetas,Papelaria,12,753.82,Nordeste
15/04/2026,cliente 25,Faixa Elastica,Esporte,5,789.56,Norte
15/01/2026,  cliente14  ,  Bola de Futebol   ,Esporte,12,231.59,Sudeste
08/05/2026,Cliente-9,Jogo de Toalhas,Casa,12,526.07,Sul
10/07/2026,  cliente43  ,Luminaria de Mesa,Casa,9,793.55,Sudeste
26/07/2026,Cliente_023,Estojo Duplo,Papelaria,12,147.06,Sul
26/03/2026,CLIENTE_20,Corda de Pular,Esporte,1,871.49,Sudeste
15/02/2026,  cliente14  ,  Corda de Pular   ,Esporte,2,749.02,Nordeste
07/09/2026,CLIENTE_13,  Caderno Universitario   ,Papelaria,6,819.46,Sul
13/04/2026,Cliente-45,Carregador USB-C,Eletronicos,9,265.51,Sudeste
04/08/2026,Cliente-33,Tenis Casual,Vestuario,12,758.16,Nordeste
01/03/2026,Cliente-37,  Bone Aba Curva   ,Vestuario,10,384.56,Sul
21/09/2026,  cliente54  ,Organizador Multiuso,Casa,6,742.11,Norte
16/09/2026,cliente 11,Corda de Pular,Esporte,9,862.15,Nordeste
03/04/2026,Cliente_009,  Fone de Ouvido   ,Eletronicos,1,418.57,Centro-Oeste
01/07/2026,Cliente_001,  Faixa Elastica   ,Esporte,,489.13,Sul
08/03/2026,cliente 59,Corda de Pular,Esporte,9,328.68,Sul
10/04/2026,cliente 37,Bone Aba Curva,Vestuario,2,774.52,Centro-Oeste
23/01/2026,cliente 36,Faixa Elastica,Esporte,8,585.74,Centro-Oeste
09/08/2026,Cliente_014,Caderno Universitario,Papelaria,,834.14,Sudeste
25/03/2026,Cliente_002,Mouse Sem Fio,Eletronicos,7,279.86,Nordeste
17/02/2026,Cliente-49,Garrafa Termica,Esporte,6,401.82,Centro-Oeste
16/08/2026,  cliente2  ,Estojo Duplo,Papelaria,9,397.19,Nordeste
05/05/2026,cliente 46,Teclado Mecanico,Eletronicos,11,359.82,Sudeste
05/02/2026,cliente 24,Teclado Mecanico,Eletronicos,7,505.94,Centro-Oeste
28/06/2026,Cliente_006,Teclado Mecanico,Eletronicos,5,704.56,Norte
09/05/2026,cliente 11,  Jogo de Toalhas   ,Casa,2,259.23,Centro-Oeste
15/04/2026,Cliente_047,Tenis Casual,Vestuario,5,,Sudeste
10/03/2026,Cliente-22,Garrafa Termica,Esporte,12,293.05,Centro-Oeste
09/07/2026,Cliente_051,  Bone Aba Curva   ,Vestuario,7,839.88,Norte
27/05/2026,Cliente-46,Panela de Pressao,Casa,7,138.17,Centro-Oeste
19/08/2026,cliente 5,Organizador Multiuso,Casa,9,784.63,Centro-Oeste
06/06/2026,Cliente-50,Camiseta Basica,Vestuario,1,585.85,Sul
24/09/2026,  cliente7  ,Bola de Futebol,Esporte,10,210.61,Sul
14/05/2026,Cliente-2,  Kit Canetas   ,Papelaria,2,847.5,Nordeste
04/08/2026,cliente 34,  Bone Aba Curva   ,Vestuario,12,74.45,Sudeste
17/04/2026,  cliente44  ,Teclado Mecanico,Eletronicos,3,392.34,Sul
DATA INVALIDA,CLIENTE_26,  Jogo de Toalhas   ,Casa,4,395.15,Centro-Oeste
06/09/2026,Cliente_037,Luminaria de Mesa,Casa,4,247.18,Sul
12/06/2026,Cliente_026,Bone Aba Curva,Vestuario,10,611.13,Norte
04/05/2026,Cliente_021,Caderno Universitario,Papelaria,12,358.79,Sudeste
18/03/2026,cliente 32,Faixa Elastica,Esporte,5,293.4,Sudeste
18/07/2026,  cliente9  ,Camiseta Basica,Vestuario,8,450.18,Centro-Oeste
DATA INVALIDA,Cliente-37,  Corda de Pular   ,Esporte,5,,Sul
18/08/2026,Cliente-48,Organizador Multiuso,Casa,10,700.98,Norte
04/07/2026,  cliente35  ,Caderno Universitario,Papelaria,11,278.47,Centro-Oeste
25/02/2026,Cliente_029,Tenis Casual,Vestuario,4,535.31,Sul
26/04/2026,Cliente-9,  Corda de Pular   ,Esporte,6,543.22,Norte
05/02/2026,CLIENTE_58,Tenis Casual,Vestuario,7,893.35,Norte
25/04/2026,  cliente46  ,  Jogo de Toalhas   ,Casa,7,526.02,Sudeste
13/02/2026,  cliente41  ,Faixa Elastica,Esporte,5,791.43,Sul
28/06/2026,  cliente47  ,Camiseta Basica,Vestuario,9,871.79,Sul
19/03/2026,  cliente22  ,  Tenis Casual   ,Vestuario,6,689.59,Nordeste
07/07/2026,Cliente-29,Fone de Ouvido,Eletronicos,3,282.15,Sudeste
02/03/2026,cliente 6,Teclado Mecanico,Eletronicos,5,683.38,Nordeste
17/04/2026,cliente 31,Fone de Ouvido,Eletronicos,1,,Sudeste
24/02/2026,CLIENTE_5,  Corda de Pular   ,Esporte,2,794.68,Centro-Oeste
DATA INVALIDA,  cliente37  ,Panela de Pressao,Casa,8,203.55,Norte
25/03/2026,CLIENTE_6,Estojo Duplo,Papelaria,12,867.48,Sudeste
25/05/2026,Cliente_016,Luminaria de Mesa,Casa,1,597.69,Sul
16/04/2026,cliente 19,Kit Canetas,Papelaria,4,540.63,Centro-Oeste
12/07/2026,cliente 25,Tenis Casual,Vestuario,3,859.69,Sudeste
26/01/2026,  cliente17  ,Caderno Universitario,Papelaria,5,458.43,Sul
07/09/2026,cliente 6,Mouse Sem Fio,Eletronicos,3,360.8,Nordeste
04/07/2026,CLIENTE_4,Bone Aba Curva,Vestuario,10,604.48,Sudeste
DATA INVALIDA,CLIENTE_45,Fone de Ouvido,Eletronicos,6,707.94,Sudeste
11/01/2026,cliente 47,Jaqueta Corta-Vento,Vestuario,5,247.71,Nordeste
DATA INVALIDA,Cliente_024,  Faixa Elastica   ,Esporte,3,240.78,Norte
DATA INVALIDA,CLIENTE_1,Mouse Sem Fio,Eletronicos,4,,Norte
08/07/2026,Cliente_052,Panela de Pressao,Casa,7,298.14,Norte
08/03/2026,Cliente-44,Camiseta Basica,Vestuario,1,76.0,Norte
07/06/2026,  cliente36  ,Tenis Casual,Vestuario,5,229.69,Sul
08/01/2026,cliente 1,Jogo de Toalhas,Casa,11,791.32,Sudeste
14/04/2026,cliente 14,  Garrafa Termica   ,Esporte,1,141.0,Sul
19/02/2026,cliente 30,Organizador Multiuso,Casa,3,364.0,Nordeste
26/06/2026,CLIENTE_19,  Corda de Pular   ,Esporte,12,415.69,Sudeste
11/08/2026,  cliente7  ,Panela de Pressao,Casa,9,696.75,Sudeste
27/05/2026,Cliente-11,Camiseta Basica,Vestuario,10,,Sul
22/01/2026,  cliente23  ,Panela de Pressao,Casa,3,,Sudeste
04/03/2026,  cliente30  ,  Kit Canetas   ,Papelaria,,884.57,Sul
01/02/2026,Cliente-38,  Camiseta Basica   ,Vestuario,4,407.44,Norte
27/07/2026,CLIENTE_4,Fone de Ouvido,Eletronicos,8,,Centro-Oeste
02/03/2026,Cliente_018,Jaqueta Corta-Vento,Vestuario,10,276.17,Sudeste
07/07/2026,cliente 18,Bola de Futebol,Esporte,9,894.77,Sul
19/06/2026,cliente 35,Garrafa Termica,Esporte,7,38.07,Centro-Oeste
06/04/2026,cliente 34,Camiseta Basica,Vestuario,11,487.32,Centro-Oeste
06/03/2026,cliente 60,Organizador Multiuso,Casa,6,632.4,Nordeste
18/08/2026,Cliente_013,  Jaqueta Corta-Vento   ,Vestuario,8,,Norte
DATA INVALIDA,Cliente-31,  Panela de Pressao   ,Casa,4,316.57,Norte
25/03/2026,  cliente38  ,Fone de Ouvido,Eletronicos,9,865.09,Sudeste
24/03/2026,Cliente_020,  Caderno Universitario   ,Papelaria,11,589.52,Nordeste
13/03/2026,Cliente_043,  Mochila Escolar   ,Papelaria,12,172.27,Sudeste
21/04/2026,Cliente-39,  Bola de Futebol   ,Esporte,8,674.63,Sudeste
DATA INVALIDA,cliente 29,  Panela de Pressao   ,Casa,12,242.14,Nordeste
14/03/2026,Cliente_047,Carregador USB-C,Eletronicos,7,347.18,Centro-Oeste
10/01/2026,  cliente5  ,Jogo de Toalhas,Casa,,107.68,Centro-Oeste
20/06/2026,Cliente_058,Panela de Pressao,Casa,8,396.72,Norte
14/04/2026,Cliente-7,Corda de Pular,Esporte,12,493.01,Sul
05/08/2026,Cliente_026,Panela de Pressao,Casa,1,275.68,Sul
03/05/2026,Cliente-2,Corda de Pular,Esporte,2,366.76,Sul
06/06/2026,Cliente_024,Carregador USB-C,Eletronicos,5,248.11,Sudeste
14/09/2026,Cliente_006,Mouse Sem Fio,Eletronicos,10,68.97,Sul
03/05/2026,Cliente_057,Faixa Elastica,Esporte,12,,Norte
07/03/2026,  cliente49  ,  Kit Canetas   ,Papelaria,3,,Sul
03/02/2026,cliente 17,Jogo de Toalhas,Casa,7,773.11,Norte
04/02/2026,  cliente27  ,Estojo Duplo,Papelaria,2,782.72,Sul
06/01/2026,  cliente37  ,Bone Aba Curva,Vestuario,3,617.52,Centro-Oeste
12/05/2026,  cliente48  ,  Jaqueta Corta-Vento   ,Vestuario,,283.2,Sul
25/08/2026,  cliente20  ,  Mouse Sem Fio   ,Eletronicos,5,550.41,Sudeste
27/06/2026,Cliente_049,Organizador Multiuso,Casa,3,642.97,Centro-Oeste
27/04/2026,Cliente-13,Caderno Universitario,Papelaria,1,827.46,Sudeste
22/02/2026,  cliente26  ,  Bone Aba Curva   ,Vestuario,,540.73,Norte
24/05/2026,Cliente_011,  Mochila Escolar   ,Papelaria,2,357.11,Nordeste
17/07/2026,CLIENTE_44,  Jogo de Toalhas   ,Casa,,694.3,Sudeste
23/05/2026,  cliente17  ,Panela de Pressao,Casa,11,807.5,Sudeste
19/07/2026,Cliente_020,Jaqueta Corta-Vento,Vestuario,9,870.34,Centro-Oeste
11/02/2026,Cliente-44,Mochila Escolar,Papelaria,11,260.04,Nordeste
26/01/2026,cliente 49,  Jogo de Toalhas   ,Casa,10,297.83,Norte
24/07/2026,CLIENTE_59,  Garrafa Termica   ,Esporte,,521.26,Nordeste
27/03/2026,Cliente-33,  Estojo Duplo   ,Papelaria,9,101.38,Nordeste
08/06/2026,Cliente_042,Kit Canetas,Papelaria,5,799.86,Nordeste
DATA INVALIDA,Cliente_031,Bone Aba Curva,Vestuario,10,78.03,Sul
05/03/2026,  cliente20  ,Carregador USB-C,Eletronicos,6,518.92,Norte
21/06/2026,CLIENTE_50,  Luminaria de Mesa   ,Casa,6,19.17,Sudeste
05/02/2026,cliente 51,Kit Canetas,Papelaria,11,394.69,Centro-Oeste
07/09/2026,CLIENTE_1,Mouse Sem Fio,Eletronicos,,,Nordeste
06/05/2026,Cliente_007,Tenis Casual,Vestuario,1,272.38,Sudeste
11/03/2026,  cliente57  ,Mochila Escolar,Papelaria,8,181.76,Centro-Oeste
24/04/2026,cliente 47,Mouse Sem Fio,Eletronicos,,124.0,Sudeste
DATA INVALIDA,cliente 40,  Garrafa Termica   ,Esporte,11,754.97,Norte
23/08/2026,cliente 8,Faixa Elastica,Esporte,12,23.23,Centro-Oeste
27/07/2026,cliente 39,  Mochila Escolar   ,Papelaria,9,119.2,Norte
07/09/2026,CLIENTE_13,Corda de Pular,Esporte,7,49.87,Norte
DATA INVALIDA,cliente 1,  Garrafa Termica   ,Esporte,2,607.08,Sudeste
15/04/2026,cliente 58,Caderno Universitario,Papelaria,5,59.32,Sul
28/02/2026,CLIENTE_28,  Tenis Casual   ,Vestuario,1,,Nordeste
12/02/2026,  cliente40  ,Tenis Casual,Vestuario,3,369.22,Centro-Oeste
28/01/2026,  cliente8  ,Faixa Elastica,Esporte,7,442.17,Sudeste
DATA INVALIDA,cliente 40,Organizador Multiuso,Casa,12,130.63,Nordeste
01/06/2026,CLIENTE_5,Faixa Elastica,Esporte,11,673.11,Sul
12/08/2026,Cliente_043,Camiseta Basica,Vestuario,11,757.54,Centro-Oeste
28/08/2026,Cliente_033,  Fone de Ouvido   ,Eletronicos,8,307.84,Sudeste
15/08/2026,  cliente53  ,Organizador Multiuso,Casa,8,456.13,Centro-Oeste
DATA INVALIDA,Cliente_027,Fone de Ouvido,Eletronicos,2,867.41,Centro-Oeste
27/01/2026,Cliente-22,Kit Canetas,Papelaria,8,694.16,Centro-Oeste
11/01/2026,cliente 49,Bola de Futebol,Esporte,11,273.41,Sul
04/07/2026,  cliente9  ,Mouse Sem Fio,Eletronicos,4,838.24,Centro-Oeste
25/02/2026,  cliente49  ,  Luminaria de Mesa   ,Casa,8,861.23,Sul
17/08/2026,cliente 60,Fone de Ouvido,Eletronicos,3,168.68,Norte
09/04/2026,  cliente57  ,  Garrafa Termica   ,Esporte,6,415.77,Norte
21/09/2026,CLIENTE_56,Mochila Escolar,Papelaria,4,272.16,Norte
19/08/2026,Cliente_049,Luminaria de Mesa,Casa,11,611.71,Sul
05/07/2026,Cliente-34,  Bone Aba Curva   ,Vestuario,1,678.91,Sul
25/04/2026,Cliente_045,Jaqueta Corta-Vento,Vestuario,6,105.69,Sul
23/05/2026,Cliente-33,Organizador Multiuso,Casa,7,861.68,Sudeste
